"user_id","record_id","player_event_type","ui_event_type","event_current_time_in_milliseconds","event_nano_time","event_seek_position_in_milliseconds","event_start_time","event_elapsed_time","song_album_id","song_album_name","song_artist_id","song_artist_name","song_bit_rate","song_date_added","song_disc_number","song_duration","song_file_size","song_file_format","song_id","song_last_played","song_name","song_file_path","song_play_count","song_playlist_id","playlist_play_order","podcast","song_sample_rate","track","song_release_year","album_id","album_name","album_artist_name","album_date_added","album_release_year","number_of_songs_in_album ","number_of_discs_in_album","album_artists","album_paths","genre_id","genre_name","number_of_songs_for_genre","album_artist_name","album_artist_album_data","audio_devic_type","audio_volume_data","device_info_app_version","device_info_device_model","device_info_google_play_services_app","device_info_google_play_services_lib","device_info_ignoring_battery_optimizations","device_info_power_save_mode_enabled","device_info_sdk_version","device_info_sdk_version_int","device_info_talk_back_enabled","device_info_timestamp"
"0U3K5S2MPePNvsl6LMt1jJCq1nj1","1612558620337",,,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.3.0","Pixel","20.47.14 (100400-349456378)","12451000","false","false","9","28","false","1612558620337"
"2AzUudC1tyQMklupZFYSU0pyPw43","1-28d1cc02-3472-4411-9bf7-2fc09c140051","PLAY",,"1605021210887","995819143588","0","","","1","Download","1","Download","320 kbps","1565623974","0","32392","1.2 MB","MPEG-1 Layer 3","53","0","new Fortnite Scenario Emote Music","/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3","0","0","0","false","44.1 kHz","0","0","","","","","","","","","","","","","","","","",,,,"","","",,"","",
"2AzUudC1tyQMklupZFYSU0pyPw43","2-094667b7-3480-4b82-a479-1c9e630a8e86","PAUSE",,"1605021212923","997855478218","1887","","","1","Download","1","Download","320 kbps","1565623974","0","32392","1.2 MB","MPEG-1 Layer 3","53","0","new Fortnite Scenario Emote Music","/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3","0","0","0","false","44.1 kHz","0","0","","","","","","","","","","","","","","","","",,,,"","","",,"","",
"2AzUudC1tyQMklupZFYSU0pyPw43","6-d13c3a9f-f47e-4543-a1b9-dfc87f514253","PLAY",,"1605022010109","1795041471800","0","","","1","Download","1","Download","320 kbps","1565623974","0","32392","1.2 MB","MPEG-1 Layer 3","53","0","new Fortnite Scenario Emote Music","/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3","0","0","0","false","44.1 kHz","0","0","","","","","","","","","","","","","","","","",,,,"","","",,"","",
"2AzUudC1tyQMklupZFYSU0pyPw43","7-9bdc57f2-1d2f-44a3-9861-10d3d7f06045","PAUSE",,"1605022011691","1796623022582","1345","","","1","Download","1","Download","320 kbps","1565623974","0","32392","1.2 MB","MPEG-1 Layer 3","53","0","new Fortnite Scenario Emote Music","/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3","0","0","0","false","44.1 kHz","0","0","","","","","","","","","","","","","","","","",,,,"","","",,"","",
"2AzUudC1tyQMklupZFYSU0pyPw43","0-86ddbcc5-c35b-406e-b276-7fa1ea306644",,"PLAY","1605021210803","995735205455","0","","","1","Download","1","Download","320 kbps","1565623974","0","32392","1.2 MB","MPEG-1 Layer 3","53","0","new Fortnite Scenario Emote Music","/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3","0","0","0","false","44.1 kHz","0","0","","","","","","","","","","","","","","","","",,,,"","","",,"","",
"2AzUudC1tyQMklupZFYSU0pyPw43","3-d331b2eb-ba8b-4fb7-bef1-454aa213b145",,"PAUSE","1605021212994","997925881975","1961","","","1","Download","1","Download","320 kbps","1565623974","0","32392","1.2 MB","MPEG-1 Layer 3","53","0","new Fortnite Scenario Emote Music","/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3","0","0","0","false","44.1 kHz","0","0","","","","","","","","","","","","","","","","",,,,"","","",,"","",
"2AzUudC1tyQMklupZFYSU0pyPw43","4-1775b15e-8ef4-43d7-b993-0c9e2249a066",,"FAVORITE","1605021221176","1006108707947","2131","","","1","Download","1","Download","320 kbps","1565623974","0","32392","1.2 MB","MPEG-1 Layer 3","53","0","new Fortnite Scenario Emote Music","/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3","0","0","0","false","44.1 kHz","0","0","","","","","","","","","","","","","","","","",,,,"","","",,"","",
"2AzUudC1tyQMklupZFYSU0pyPw43","5-a573b774-3409-437f-9cac-cd218318bce9",,"PLAY_ALBUM_ARTIST","1605022010000","1794932445799","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<unknown>","[AlbumData [albumArtistName=<unknown>, artists=[id=1, name=<unknown>, numAlbums=0, numSongs=0], dateAdded=1565623974, id=1, name=Download, numDiscs=0, numSongs=1, paths=[/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3], year=0], AlbumData [albumArtistName=<unknown>, artists=[id=1, name=<unknown>, numAlbums=0, numSongs=0], dateAdded=1565624675, id=2, name=WhatsApp Audio, numDiscs=0, numSongs=2, paths=[/storage/emulated/0/WhatsApp/Media/WhatsApp Audio/AUD-20170919-WA0000.m4a, /storage/emulated/0/WhatsApp/Media/WhatsApp Audio/AUD-20170919-WA0001.m4a], year=0]]","","",,,,"","","",,"","",
"2AzUudC1tyQMklupZFYSU0pyPw43","8-f977d2a9-c980-4498-bc90-def493047fa0",,"PAUSE","1605022011786","1796718437904","1441","","","1","Download","1","Download","320 kbps","1565623974","0","32392","1.2 MB","MPEG-1 Layer 3","53","0","new Fortnite Scenario Emote Music","/storage/emulated/0/Download/new Fortnite Scenario Emote Music.mp3","0","0","0","false","44.1 kHz","0","0","","","","","","","","","","","","","","","","",,,,"","","",,"","",
